,wordCount,charNum,avgWordLen,stopWords,numeric_num,noun_count,verb_count,adj_count,adv_count,pron_count,host_listings_count,host_total_listings_count,price,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,number_of_reviews_ltm,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,summary_sentiment_neg,summary_sentiment_neu,summary_sentiment_pos,summary_sentiment_compound,space_sentiment_neg,space_sentiment_neu,space_sentiment_pos,space_sentiment_compound,description_sentiment_neg,description_sentiment_neu,description_sentiment_pos,description_sentiment_compound,neighborhood_overview_sentiment_neg,neighborhood_overview_sentiment_neu,neighborhood_overview_sentiment_pos,neighborhood_overview_sentiment_compound,notes_sentiment_neg,notes_sentiment_neu,notes_sentiment_pos,notes_sentiment_compound,transit_sentiment_neg,transit_sentiment_neu,transit_sentiment_pos,transit_sentiment_compound,access_sentiment_neg,access_sentiment_neu,access_sentiment_pos,access_sentiment_compound,interaction_sentiment_neg,interaction_sentiment_neu,interaction_sentiment_pos,interaction_sentiment_compound,house_rules_sentiment_neg,house_rules_sentiment_neu,house_rules_sentiment_pos,house_rules_sentiment_compound,host_about_sentiment_neg,host_about_sentiment_neu,host_about_sentiment_pos,host_about_sentiment_compound
8055,65.0,374.0,5.753846153846153,0.0,12.0,27.0,6.0,12.0,4.0,0.0,0.0,0.0,100.0,0.0,40.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.807,0.193,0.7351,0.0,0.9259999999999999,0.07400000000000001,0.7579,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.04,0.0772,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8056,76.0,500.0,6.578947368421053,0.0,1.0,43.0,12.0,12.0,4.0,0.0,1.0,1.0,80.0,0.0,0.0,1.0,0.0,15.0,15.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135,0.8490000000000001,0.016,-0.9468,0.155,0.799,0.047,-0.9477,0.138,0.6920000000000001,0.17,0.128,0.086,0.8490000000000001,0.065,-0.3182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.647,0.353,0.5994,0.0,0.0,0.0,0.0
8058,142.0,866.0,6.098591549295776,0.0,18.0,70.0,18.0,15.0,7.0,0.0,3.0,3.0,350.0,0.0,0.0,1.0,0.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.722,0.278,0.9371,0.0,0.9059999999999999,0.094,0.9136,0.0,0.85,0.15,0.9801,0.0,0.8809999999999999,0.11900000000000001,0.9231,0.0,0.0,0.0,0.0,0.024,0.9359999999999999,0.039,0.2014,0.0,0.95,0.05,0.3182,0.0,0.8,0.2,0.7906,0.247,0.449,0.303,0.128,0.0,0.0,0.0,0.0
8059,200.0,1695.0,8.475,0.0,2.0,105.0,33.0,49.0,4.0,1.0,6.0,6.0,38.0,100.0,60.0,1.0,13.0,4.0,4.0,6.0,0.0,6.0,0.0,0.0,0.613,0.387,0.8779,0.0,0.0,0.0,0.0,0.0,0.613,0.387,0.8779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8060,106.0,717.0,6.764150943396228,0.0,1.0,35.0,27.0,30.0,7.0,0.0,14.0,14.0,65.0,0.0,55.0,2.0,0.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.6609999999999999,0.33899999999999997,0.9468,0.013000000000000001,0.88,0.107,0.9449,0.0,0.807,0.193,0.9868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8061,18.0,127.0,7.0555555555555545,0.0,0.0,7.0,5.0,4.0,2.0,0.0,2.0,2.0,130.0,100.0,70.0,4.0,16.0,4.0,4.0,3.0,3.0,0.0,0.0,0.028999999999999998,0.818,0.153,0.8625,0.0,0.88,0.12,0.9062,0.013000000000000001,0.846,0.141,0.9678,0.045,0.8759999999999999,0.08,0.29600000000000004,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.565,0.40299999999999997,0.9299,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8062,76.0,455.0,5.9868421052631575,0.0,2.0,38.0,15.0,17.0,3.0,0.0,0.0,0.0,85.0,0.0,0.0,2.0,25.0,37.0,37.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9620000000000001,0.038,0.4939,0.0,0.862,0.138,0.4939,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.588,0.41200000000000003,0.743
8063,127.0,826.0,6.503937007874017,0.0,1.0,53.0,20.0,43.0,6.0,0.0,0.0,0.0,90.0,300.0,30.0,1.0,0.0,5.0,5.0,2.0,0.0,2.0,0.0,0.0,0.914,0.086,0.634,0.0,0.836,0.16399999999999998,0.6249,0.0,0.865,0.135,0.9693,0.0,0.847,0.153,0.8268,0.0,0.0,0.0,0.0,0.051,0.78,0.16899999999999998,0.9666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,0.591,0.18600000000000003,-0.0951,0.0,0.866,0.134,0.8047
8064,38.0,217.0,5.7105263157894735,0.0,2.0,17.0,6.0,13.0,0.0,0.0,1.0,1.0,54.0,149.0,24.0,1.0,19.0,7.0,7.0,1.0,0.0,1.0,0.0,0.0,0.8009999999999999,0.19899999999999998,0.9524,0.0,0.8140000000000001,0.18600000000000003,0.9349,0.0,0.8109999999999999,0.18899999999999997,0.9853,0.01,0.935,0.055999999999999994,0.8271,0.0,0.713,0.287,0.6166,0.015,0.948,0.038,0.5423,0.0,0.7859999999999999,0.214,0.9811,0.0,0.7709999999999999,0.22899999999999998,0.8625,0.092,0.6459999999999999,0.263,0.9468,0.026000000000000002,0.615,0.359,0.9577
8065,164.0,1043.0,6.359756097560974,0.0,1.0,87.0,29.0,31.0,10.0,0.0,33.0,33.0,72.0,400.0,54.0,2.0,5.0,13.0,13.0,34.0,34.0,0.0,0.0,0.015,0.841,0.145,0.9583,0.078,0.922,0.0,-0.6249,0.013999999999999999,0.853,0.133,0.9583,0.0,0.8809999999999999,0.11900000000000001,0.6597,0.239,0.7609999999999999,0.0,-0.5267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.81,0.11199999999999999,0.6351,0.024,0.852,0.124,0.8399
8066,242.0,1545.0,6.384297520661157,0.0,6.0,98.0,38.0,64.0,17.0,0.0,33.0,33.0,62.0,400.0,54.0,2.0,5.0,10.0,10.0,34.0,34.0,0.0,0.0,0.015,0.841,0.145,0.9583,0.078,0.922,0.0,-0.6249,0.013999999999999999,0.853,0.133,0.9583,0.0,0.8809999999999999,0.11900000000000001,0.6597,0.268,0.732,0.0,-0.5267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.81,0.11199999999999999,0.6351,0.024,0.852,0.124,0.8399
8067,293.0,1791.0,6.112627986348122,2.0,22.0,147.0,50.0,48.0,13.0,0.0,33.0,33.0,61.0,400.0,54.0,2.0,5.0,22.0,22.0,34.0,34.0,0.0,0.0,0.0,0.9059999999999999,0.094,0.8481,0.078,0.922,0.0,-0.6249,0.031,0.9129999999999999,0.055999999999999994,0.6249,0.0,0.8809999999999999,0.11900000000000001,0.6597,0.268,0.732,0.0,-0.5267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.81,0.11199999999999999,0.6351,0.024,0.852,0.124,0.8399
8068,291.0,1785.0,6.1340206185567006,1.0,22.0,147.0,51.0,49.0,10.0,0.0,33.0,33.0,77.0,300.0,54.0,2.0,5.0,8.0,8.0,34.0,34.0,0.0,0.0,0.015,0.841,0.145,0.9583,0.078,0.922,0.0,-0.6249,0.013999999999999999,0.853,0.133,0.9583,0.0,0.8809999999999999,0.11900000000000001,0.6597,0.268,0.732,0.0,-0.5267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.81,0.11199999999999999,0.6351,0.024,0.852,0.124,0.8399
